time,sp,w,value,scenario
100,Pseudopleuronectes americanus,0.0271,40575010.21912715,rcp2013
100,Rostroraja eglanteria,0.0271,21725.139654548104,rcp2013
100,Squalus acanthias,0.0271,6918724415.889887,rcp2013
100,Urophycis chuss,0.0271,2536558.12142879,rcp2013
100,Urophycis tenuis,0.0271,8971825.375243237,rcp2013
100,Zoarces americanus,0.0271,244283003.08245906,rcp2013
100,Alosa pseudoharengus,0.0323,36742997.398744255,rcp2013
100,Alosa sapidissima,0.0323,7135878.944412764,rcp2013
100,Ammodytes dubius,0.0323,911891325.6241059,rcp2013
100,Anchoa mitchilli,0.0323,402186.1977969575,rcp2013
100,Clupea harengus,0.0323,89991601311.97789,rcp2013
100,Gadus morhua,0.0323,24233128.60752483,rcp2013
100,Glyptocephalus cynoglossus,0.0323,1827768059.4133716,rcp2013
100,Limanda ferruginea,0.0323,2628042286.601701,rcp2013
100,Lophius americanus,0.0323,306884.0029114549,rcp2013
100,Melanogrammus aeglefinus,0.0323,236037158.81638172,rcp2013
100,Merluccius bilinearis,0.0323,305405752.51367253,rcp2013
100,Myoxocephalus octodecemspinosus,0.0323,4751210.537894164,rcp2013
100,Paralichthys dentatus,0.0323,14008721.893801633,rcp2013
100,Pseudopleuronectes americanus,0.0323,36024596.60766564,rcp2013
100,Rostroraja eglanteria,0.0323,19360.922406690708,rcp2013
100,Squalus acanthias,0.0323,6093424923.367955,rcp2013
100,Urophycis chuss,0.0323,2250778.5305722174,rcp2013
100,Urophycis tenuis,0.0323,7963907.776423178,rcp2013
100,Zoarces americanus,0.0323,215066421.11888134,rcp2013
100,Alosa pseudoharengus,0.0384,32615191.191378787,rcp2013
100,Alosa sapidissima,0.0384,6330498.385726973,rcp2013
100,Ammodytes dubius,0.0384,796646155.7694516,rcp2013
100,Anchoa mitchilli,0.0384,357701.12636259815,rcp2013
100,Clupea harengus,0.0384,79375543211.61455,rcp2013
100,Gadus morhua,0.0384,21547881.86388556,rcp2013
100,Glyptocephalus cynoglossus,0.0384,1607430277.79931,rcp2013
100,Limanda ferruginea,0.0384,2319718573.9639,rcp2013
100,Lophius americanus,0.0384,272382.2402333146,rcp2013
100,Melanogrammus aeglefinus,0.0384,209066694.90844062,rcp2013
100,Merluccius bilinearis,0.0384,270699743.41821957,rcp2013
100,Myoxocephalus octodecemspinosus,0.0384,4216218.95024352,rcp2013
100,Paralichthys dentatus,0.0384,12483548.656541552,rcp2013
100,Pseudopleuronectes americanus,0.0384,31979517.390211843,rcp2013
100,Rostroraja eglanteria,0.0384,17253.098177468695,rcp2013
100,Squalus acanthias,0.0384,5364275143.655381,rcp2013
100,Urophycis chuss,0.0384,1996871.6814522191,rcp2013
100,Urophycis tenuis,0.0384,7068323.69757421,rcp2013
100,Zoarces americanus,0.0384,189263822.61537457,rcp2013
100,Alosa pseudoharengus,0.0457,28948724.20185239,rcp2013
100,Alosa sapidissima,0.0457,5615380.708442648,rcp2013
100,Ammodytes dubius,0.0457,695489007.9825435,rcp2013
100,Anchoa mitchilli,0.0457,318061.8011282292,rcp2013
100,Clupea harengus,0.0457,69987302390.08575,rcp2013
100,Gadus morhua,0.0457,19158007.63934862,rcp2013
100,Glyptocephalus cynoglossus,0.0457,1412937251.2162807,rcp2013
100,Limanda ferruginea,0.0457,2046775200.4844074,rcp2013
100,Lophius americanus,0.0457,241727.23393496277,rcp2013
100,Melanogrammus aeglefinus,0.0457,185138890.3350393,rcp2013
100,Merluccius bilinearis,0.0457,239890019.74116758,rcp2013
100,Myoxocephalus octodecemspinosus,0.0457,3740824.359950531,rcp2013
100,Paralichthys dentatus,0.0457,11123037.587197242,rcp2013
100,Pseudopleuronectes americanus,0.0457,28383579.93523236,rcp2013
100,Rostroraja eglanteria,0.0457,15373.860248501362,rcp2013
100,Squalus acanthias,0.0457,4720075394.877986,rcp2013
